Id,Character,CharacterImage,Dialogue,Chioce1,Chioce2,Choice1Text,Choice2Text,Type,Sound,BGMSound,Note
,,,,,,,,,,,
,Note,,เดินเข้าไปคุยกับตัวลูกสาว,,,,,,,,
,,,,,,,,,,,
Ch3_D01_01,เด็กสาว,Director's daughter_smile,สวัสดีจ้ะพี่สาวเจอกันอีกแล้วนะ!!!,Ch3_D01_02,,,,Dialogue,,,
Ch3_D01_02,เด็กสาว,Director's daughter_normal,อืม..ถ้าอย่างงั้นหนูจะให้คำแนะนำเกี่ยวกับ โรงแสดงละครสัตว์ ละกัน,Ch3_D01_03,,,,Dialogue,,,
Ch3_D01_03,เด็กสาว,Director's daughter_smile,พี่จะต้องพยายามหาทางเข้าไปในจุดโซนการแสดงให้ได้,Ch3_D01_04,,,,Dialogue,,,
Ch3_D01_04,เด็กสาว,Director's daughter_smile,ที่แห่งนั้นมี  เหรียญทองแห่งเลือด   อยู่..ซึ่งจะช่วยให้พี่สาวไปสถานที่ต่อไปได้นะ..,Ch3_D01_05,,,,Dialogue,,,
Ch3_D01_05,เด็กสาว,Director's daughter_smilebad,แต่ว่ามันก็คงไม่ง่ายแบบนั้นนะพี่สาว..เพราะข้างในมีสิ่งที่เรียกว่า ผู้จมปลัก อยู่นะ,Ch3_D01_06,,,,Dialogue,,,
Ch3_D01_06,เด็กสาว,Director's daughter_smilebad,อืม....ถ้าจำไม่ผิด..รู้สึกว่าจะเป็น...เด็กสาวฝาแฝดนะ..,Ch3_D01_07,,,,Dialogue,,,
Ch3_D01_07,เด็กสาว,Director's daughter_smile,แม้น้องสาวเธอจะตายไปนานแสนนานแล้ว..แต่คนเป็นพี่ก็ยังคงตามปกป้องน้องตัวเองอยู่เสมอ...,Ch3_D01_08,,,,Dialogue,,,
Ch3_D01_08,เด็กสาว,Director's daughter_smilebad,ถ้าเจอ ผู้จมปลัก ละก็..หนูแนะนำให้หาที่ซ่อนหรือไม่ก็พยายามย้ายห้อง..,Ch3_D01_09,,,,Dialogue,,,
Ch3_D01_09,เด็กสาว,Director's daughter_smilebad,้้เพราะหนูการันตีว่า พี่สาววิ่งหนีไม่ทันแน่ ....,Ch3_D01_10,,,,Dialogue,,,
Ch3_D01_10,เด็กสาว,Director's daughter_smile,อืม...หนูแนะนำอีกอย่าง..ให้พี่สาวตามหาตุ๊กตาก่อนนะ...,Ch3_D01_11,,,,Dialogue,,,
Ch3_D01_11,เด็กสาว,Director's daughter_normal,น่าจะหมดแล้วนะ.. โชคดีนะพี่สาว!!!,,,,,Dialogue,girllaughter,,
,,,,,,,,,,,
,,,,,,,,,,,
,Note,,คุยกับลูกสาวหน้าโรงแสดงละครสัตว์,,,,,,,,
,,,,,,,,,,,
Ch3_D02_01,เด็กสาว,Director's daughter_normal,อืม..ถ้าอย่างงั้นหนูจะให้คำแนะนำเกี่ยวกับ โรงแสดงละครสัตว์ ละกัน,Ch3_D02_02,,,,Dialogue,,,
Ch3_D02_02,เด็กสาว,Director's daughter_smile,พี่จะต้องพยายามหาทางเข้าไปในจุดโซนการแสดงให้ได้,Ch3_D02_03,,,,Dialogue,,,
Ch3_D02_03,เด็กสาว,Director's daughter_smile,ที่แห่งนั้นมี  เหรียญทองแห่งเลือด   อยู่..ซึ่งจะช่วยให้พี่สาวไปสถานที่ต่อไปได้นะ..,Ch3_D02_04,,,,Dialogue,,,
Ch3_D02_04,เด็กสาว,Director's daughter_smilebad,แต่ว่ามันก็คงไม่ง่ายแบบนั้นนะพี่สาว..เพราะข้างในมีสิ่งที่เรียกว่า ผู้จมปลัก อยู่นะ,Ch3_D02_05,,,,Dialogue,,,
Ch3_D02_05,เด็กสาว,Director's daughter_smilebad,อืม....ถ้าจำไม่ผิด..รู้สึกว่าจะเป็น...เด็กสาวฝาแฝดนะ..,Ch3_D02_06,,,,Dialogue,,,
Ch3_D02_06,เด็กสาว,Director's daughter_smile,แม้น้องสาวเธอจะตายไปนานแสนนานแล้ว..แต่คนเป็นพี่ก็ยังคงตามปกป้องน้องตัวเองอยู่เสมอ...,Ch3_D02_07,,,,Dialogue,,,
Ch3_D02_07,เด็กสาว,Director's daughter_smilebad,ถ้าเจอ ผู้จมปลัก ละก็..หนูแนะนำให้หาที่ซ่อนหรือไม่ก็พยายามย้ายห้อง..,Ch3_D02_08,,,,Dialogue,,,
Ch3_D02_08,เด็กสาว,Director's daughter_smilebad,เพราะหนูการันตีว่า พี่สาววิ่งหนีไม่ทันแน่ ....,Ch3_D02_09,,,,Dialogue,,,
Ch3_D02_09,เด็กสาว,Director's daughter_smile,อืม...หนูแนะนำอีกอย่าง..ให้พี่สาวตามหาตุ๊กตาก่อนนะ...,Ch3_D02_10,,,,Dialogue,,,
Ch3_D02_10,เด็กสาว,Director's daughter_normal,น่าจะหมดแล้วนะ.. โชคดีนะพี่สาว!!!,,,,,Dialogue,girllaughter,,
,,,,,,,,,,,
,Note,,เข้าไปครั้งแรกในโรงแสดงละคร,,,,,,,,
,,,,,,,,,,,
Ch3_D03_01,อเมเลีย,Amelia_normal,ว้าว!!! ที่นี้คือ โรงแสดงละครสัตว์ สินะยิ่งใหญ่สุดๆไปเลย!!,Ch3_D03_02,,,,Dialogue,,,
Ch3_D03_02,อเมเลีย,Amelia_smile,เหมือนกับที่แสดงโอเปร่า..,Ch3_D03_03,,,,Dialogue,,,
Ch3_D03_03,อเมเลีย,Amelia_disgusting,หืม?....ฟื้ด....ฟื้ด....,Ch3_D03_04,,,,Dialogue,,,
Ch3_D03_04,อเมเลีย,Amelia_disgusting,ละ...กลิ่นเลือด..ทำไมที่นี้ถึงเต็มไปด้วยกลิ่นอบอวลของเลือดกันละ....,Ch3_D03_05,,,,Dialogue,,,
Ch3_D03_05,อเมเลีย,Amelia_shocking,ฮึก..คลื่นไส้...,Ch3_D03_06,,,,Dialogue,,,
Ch3_D03_06,อเมเลีย,Amelia_disgusting,ต้องรีบตามหาตุ๊กตา..เพื่อหาของที่ใช้เข้าในโซนการแสดงสัตว์ละ....,,,,,Dialogue,,,
,,,,,,,,,,,
